"Date Heure, GMT+01:00",Température 1 (°C),Température 2 (°C),Température 3 (°C),Température 4 (°C)
16/07/06 12:00,13.401,13.642,13.834,13.834
16/07/06 12:15,13.425,13.642,13.834,13.81
16/07/06 12:30,13.449,13.642,13.834,13.81
16/07/06 12:45,13.449,13.642,13.81,13.81
16/07/06 13:00,13.497,13.642,13.81,13.81
16/07/06 13:15,13.497,13.642,13.786,13.786
16/07/06 13:30,13.522,13.642,13.786,13.786
16/07/06 13:45,13.57,13.642,13.786,13.786
16/07/06 14:00,13.594,13.642,13.786,13.762
16/07/06 14:15,13.618,13.642,13.786,13.762
16/07/06 14:30,13.666,13.642,13.762,13.762
16/07/06 14:45,13.69,13.666,13.762,13.762
16/07/06 15:00,13.714,13.666,13.762,13.762
16/07/06 15:15,13.762,13.666,13.762,13.738
16/07/06 15:30,13.786,13.69,13.762,13.738
16/07/06 15:45,13.834,13.69,13.762,13.738
16/07/06 16:00,13.858,13.714,13.762,13.714
16/07/06 16:15,13.906,13.714,13.762,13.714
16/07/06 16:30,13.954,13.738,13.762,13.714
16/07/06 16:45,13.978,13.762,13.762,13.714
16/07/06 17:00,14.026,13.762,13.762,13.714
16/07/06 17:15,14.05,13.786,13.786,13.714
16/07/06 17:30,14.098,13.81,13.786,13.714
16/07/06 17:45,14.146,13.81,13.786,13.714
16/07/06 18:00,14.194,13.834,13.786,13.714
16/07/06 18:15,14.218,13.858,13.786,13.714
16/07/06 18:30,14.266,13.882,13.786,13.714
16/07/06 18:45,14.314,13.906,13.81,13.714
16/07/06 19:00,14.361,13.906,13.81,13.714
16/07/06 19:15,14.385,13.93,13.834,13.714
16/07/06 19:30,14.433,13.954,13.834,13.714
16/07/06 19:45,14.481,13.978,13.834,13.714
16/07/06 20:00,14.505,14.002,13.858,13.714
16/07/06 20:15,14.553,14.002,13.858,13.714
16/07/06 20:30,14.577,14.05,13.858,13.714
16/07/06 20:45,14.601,14.074,13.882,13.714
16/07/06 21:00,14.649,14.074,13.906,13.714
16/07/06 21:15,14.673,14.098,13.906,13.714
16/07/06 21:30,14.673,14.122,13.906,13.714
16/07/06 21:45,14.673,14.146,13.93,13.738
16/07/06 22:00,14.697,14.17,13.93,13.738
16/07/06 22:15,14.697,14.194,13.954,13.738
16/07/06 22:30,14.721,14.194,13.954,13.738
16/07/06 22:45,14.721,14.218,13.978,13.762
16/07/06 23:00,14.697,14.242,13.978,13.762
16/07/06 23:15,14.697,14.242,14.002,13.762
16/07/06 23:30,14.697,14.266,14.002,13.762
16/07/06 23:45,14.673,14.266,14.026,13.762
16/07/07 00:00,14.673,14.266,14.026,13.786
16/07/07 00:15,14.649,14.29,14.026,13.786
16/07/07 00:30,14.649,14.29,14.05,13.786
16/07/07 00:45,14.625,14.29,14.05,13.786
16/07/07 01:00,14.601,14.29,14.05,13.81
16/07/07 01:15,14.577,14.29,14.05,13.81
16/07/07 01:30,14.553,14.29,14.074,13.81
16/07/07 01:45,14.529,14.29,14.074,13.81
16/07/07 02:00,14.481,14.29,14.074,13.81
16/07/07 02:15,14.457,14.29,14.098,13.834
16/07/07 02:30,14.409,14.29,14.098,13.834
16/07/07 02:45,14.385,14.266,14.098,13.834
16/07/07 03:00,14.337,14.266,14.098,13.834
16/07/07 03:15,14.314,14.242,14.098,13.834
16/07/07 03:30,14.266,14.242,14.098,13.834
16/07/07 03:45,14.242,14.242,14.098,13.858
16/07/07 04:00,14.194,14.218,14.098,13.858
16/07/07 04:15,14.146,14.218,14.098,13.858
16/07/07 04:30,14.098,14.194,14.074,13.858
16/07/07 04:45,14.05,14.17,14.098,13.858
16/07/07 05:00,14.002,14.17,14.074,13.858
16/07/07 05:15,13.954,14.146,14.074,13.858
16/07/07 05:30,13.93,14.122,14.074,13.858
16/07/07 05:45,13.882,14.098,14.074,13.858
16/07/07 06:00,13.834,14.074,14.05,13.858
16/07/07 06:15,13.81,14.074,14.05,13.858
16/07/07 06:30,13.762,14.05,14.026,13.858
16/07/07 06:45,13.738,14.026,14.026,13.858
16/07/07 07:00,13.69,14.002,14.026,13.858
16/07/07 07:15,13.642,13.978,14.002,13.858
16/07/07 07:30,13.618,13.954,14.002,13.858
16/07/07 07:45,13.594,13.93,13.978,13.834
16/07/07 08:00,13.57,13.906,13.978,13.834
16/07/07 08:15,13.546,13.882,13.978,13.834
16/07/07 08:30,13.522,13.858,13.954,13.834
16/07/07 08:45,13.522,13.858,13.93,13.834
16/07/07 09:00,13.497,13.834,13.93,13.834
16/07/07 09:15,13.497,13.81,13.93,13.834
16/07/07 09:30,13.497,13.81,13.906,13.81
16/07/07 09:45,13.497,13.786,13.906,13.81
16/07/07 10:00,13.497,13.762,13.906,13.81
16/07/07 10:15,13.522,13.762,13.882,13.81
16/07/07 10:30,13.522,13.738,13.882,13.786
16/07/07 10:45,13.522,13.738,13.858,13.786
16/07/07 11:00,13.546,13.714,13.858,13.786
16/07/07 11:15,13.57,13.714,13.834,13.786
16/07/07 11:30,13.594,13.714,13.834,13.762
16/07/07 11:45,13.594,13.714,13.834,13.762
16/07/07 12:00,13.642,13.714,13.81,13.762
16/07/07 12:15,13.666,13.714,13.81,13.762
16/07/07 12:30,13.69,13.714,13.81,13.738
16/07/07 12:45,13.714,13.714,13.81,13.738
16/07/07 13:00,13.762,13.714,13.786,13.738
16/07/07 13:15,13.786,13.714,13.786,13.738
16/07/07 13:30,13.834,13.738,13.786,13.714
16/07/07 13:45,13.858,13.738,13.786,13.714
16/07/07 14:00,13.906,13.738,13.786,13.714
16/07/07 14:15,13.954,13.762,13.786,13.714
16/07/07 14:30,14.002,13.762,13.786,13.714
16/07/07 14:45,14.05,13.786,13.786,13.714
16/07/07 15:00,14.098,13.81,13.786,13.714
16/07/07 15:15,14.146,13.81,13.786,13.714
