Plot Title: hobo14,,,,,,,,
#,"Date Heure, GMT+01:00","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature1)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature2)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature3)","Temp., °C (LGR S/N: 21065765, SEN S/N: 21065765, LBL: Temperature4)",Hôte connecté (LGR S/N: 21065765),Arrêté (LGR S/N: 21065765),Fin de fichier (LGR S/N: 21065765)
345,09/13/24 06:00:00 AM,12.508,13.587,14.402,14.581,,,
346,09/13/24 06:15:00 AM,12.267,13.566,14.394,14.574,,,
347,09/13/24 06:30:00 AM,12.234,13.542,14.387,14.566,,,
348,09/13/24 06:45:00 AM,12.151,13.521,14.378,14.559,,,
349,09/13/24 07:00:00 AM,12.131,13.494,14.37,14.551,,,
350,09/13/24 07:15:00 AM,12.172,13.475,14.361,14.544,,,
351,09/13/24 07:30:00 AM,12.115,13.46,14.354,14.536,,,
352,09/13/24 07:45:00 AM,12.093,13.442,14.345,14.527,,,
353,09/13/24 08:00:00 AM,12.039,13.421,14.336,14.52,,,
354,09/13/24 08:15:00 AM,12.027,13.401,14.328,14.511,,,
355,09/13/24 08:30:00 AM,12.06,13.385,14.319,14.502,,,
356,09/13/24 08:45:00 AM,12.063,13.37,14.31,14.495,,,
357,09/13/24 09:00:00 AM,12.081,13.354,14.3,14.486,,,
358,09/13/24 09:15:00 AM,12.11,13.344,14.291,14.477,,,
359,09/13/24 09:30:00 AM,12.201,13.333,14.282,14.468,,,
360,09/13/24 09:45:00 AM,12.231,13.326,14.273,14.459,,,
361,09/13/24 10:00:00 AM,12.217,13.32,14.264,14.45,,,
362,09/13/24 10:15:00 AM,12.269,13.312,14.255,14.441,,,
363,09/13/24 10:30:00 AM,12.279,13.306,14.246,14.432,,,
364,09/13/24 10:45:00 AM,12.335,13.302,14.237,14.423,,,
365,09/13/24 11:00:00 AM,12.426,13.299,14.229,14.414,,,
366,09/13/24 11:15:00 AM,12.496,13.302,14.222,14.406,,,
367,09/13/24 11:30:00 AM,12.538,13.306,14.217,14.4,,,
368,09/13/24 11:45:00 AM,12.582,13.308,14.208,14.391,,,
369,09/13/24 12:00:00 PM,12.624,13.308,14.2,14.382,,,
370,09/13/24 12:15:00 PM,12.642,13.315,14.194,14.376,,,
